scrip_id,segment,name,instrument_type,exchange,symbol,lot_size,tick_size,expiry_date
13,IDX_I,Nifty 50,INDEX,NSE,NIFTY,1,0.05,0
25,IDX_I,Nifty Bank,INDEX,NSE,BANKNIFTY,1,0.05,0
27,IDX_I,FinNifty,INDEX,NSE,NIFTY FIN SERVICE,1,0.05,0
69,IDX_I,BANKEX,INDEX,BSE,BSE BANKEX,1,0.05,0
6733,NSE_FNO,JINDALSTEL,OP,NSE,JINDALSTEL,625,5,0
1348,NSE_FNO,HEROMOTOCO,OP,NSE,HEROMOTOCO,150,5,0
18143,NSE_FNO,JIOFIN,OP,NSE,JIOFIN,2350,5,0
21951,NSE_FNO,HFCL,OP,NSE,HFCL,6450,5,0
17869,NSE_FNO,JSWENERGY,OP,NSE,JSWENERGY,1000,5,0
1624,NSE_FNO,IOC,OP,NSE,IOC,4875,5,0
11723,NSE_FNO,JSWSTEEL,OP,NSE,JSWSTEEL,675,5,0
1363,NSE_FNO,HINDALCO,OP,NSE,HINDALCO,1400,5,0
15313,NSE_FNO,IRB,OP,NSE,IRB,11675,5,0
1406,NSE_FNO,HINDPETRO,OP,NSE,HINDPETRO,2025,5,0
13611,NSE_FNO,IRCTC,OP,NSE,IRCTC,875,5,0
18096,NSE_FNO,JUBLFOOD,OP,NSE,JUBLFOOD,1250,5,0
1394,NSE_FNO,HINDUNILVR,OP,NSE,HINDUNILVR,300,5,0
20261,NSE_FNO,IREDA,OP,NSE,IREDA,3450,5,0
2029,NSE_FNO,IRFC,OP,NSE,IRFC,4250,5,0
2955,NSE_FNO,KALYANKJIL,OP,NSE,KALYANKJIL,1175,5,0
1660,NSE_FNO,ITC,OP,NSE,ITC,1600,5,0
1424,NSE_FNO,HINDZINC,OP,NSE,HINDZINC,1225,5,0
12092,NSE_FNO,KAYNES,OP,NSE,KAYNES,100,5,0
20825,NSE_FNO,HUDCO,OP,NSE,HUDCO,2775,5,0
13310,NSE_FNO,KEI,OP,NSE,KEI,175,5,0
4963,NSE_FNO,ICICIBANK,OP,NSE,ICICIBANK,700,5,0
13359,NSE_FNO,KFINTECH,OP,NSE,KFINTECH,450,5,0
1922,NSE_FNO,KOTAKBANK,OP,NSE,KOTAKBANK,400,5,0
21770,NSE_FNO,ICICIGI,OP,NSE,ICICIGI,325,5,0
11236,NSE_FNO,JSL,OP,NSE,JSL,850,5,0
9683,NSE_FNO,KPITTECH,OP,NSE,KPITTECH,400,5,0
18652,NSE_FNO,ICICIPRULI,OP,NSE,ICICIPRULI,925,5,0
19234,NSE_FNO,LAURUSLABS,OP,NSE,LAURUSLABS,1700,5,0
14366,NSE_FNO,IDEA,OP,NSE,IDEA,71475,5,0
11184,NSE_FNO,IDFCFIRSTB,OP,NSE,IDFCFIRSTB,9275,5,0
1997,NSE_FNO,LICHSGFIN,OP,NSE,LICHSGFIN,1000,5,0
220,NSE_FNO,IEX,OP,NSE,IEX,3750,5,0
9480,NSE_FNO,LICI,OP,NSE,LICI,700,5,0
11262,NSE_FNO,IGL,OP,NSE,IGL,2750,5,0
11809,NSE_FNO,IIFL,OP,NSE,IIFL,1650,5,0
3220,NSE_FNO,LODHA,OP,NSE,LODHA,450,5,0
1512,NSE_FNO,INDHOTEL,OP,NSE,INDHOTEL,1000,5,0
11483,NSE_FNO,LT,OP,NSE,LT,175,5,0
24948,NSE_FNO,LTF,OP,NSE,LTF,4462,5,0
11195,NSE_FNO,INDIGO,OP,NSE,INDIGO,150,5,0
17818,NSE_FNO,LTIM,OP,NSE,LTIM,150,5,0
5258,NSE_FNO,INDUSINDBK,OP,NSE,INDUSINDBK,700,5,0
10440,NSE_FNO,LUPIN,OP,NSE,LUPIN,425,5,0
29135,NSE_FNO,INDUSTOWER,OP,NSE,INDUSTOWER,1700,5,0
1594,NSE_FNO,INFY,OP,NSE,INFY,400,5,0
7852,NSE_FNO,INOXWIND,OP,NSE,INOXWIND,3272,5,0
2031,NSE_FNO,M&M,OP,NSE,M&M,200,5,0
19061,NSE_FNO,MANAPPURAM,OP,NSE,MANAPPURAM,3000,5,0
15380,NSE_FNO,MANKIND,OP,NSE,MANKIND,225,5,0
4067,NSE_FNO,MARICO,OP,NSE,MARICO,1200,5,0
10999,NSE_FNO,MARUTI,OP,NSE,MARUTI,50,5,0
22377,NSE_FNO,MAXHEALTH,OP,NSE,MAXHEALTH,525,5,0
509,NSE_FNO,MAZDOCK,OP,NSE,MAZDOCK,175,5,0
